sRGB_R,sRGB_G,sRGB_B,RGB_R,RGB_G,RGB_B,HSV_H,HSV_S,HSV_V,HSL_H,HSL_S,HSL_L,CMY_C,CMY_M,CMY_Y,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CIERGB_R,CIERGB_G,CIERGB_B,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,CIELuv_L,CIELuv_u,CIELuv_v,CIELab_L,CIELab_a,CIELab_b,CIELCh_L,CIELCh_C,CIELCh_h
63,95,31,0.24705882,0.37254903,0.12156863,90.0,0.67368424,0.37254903,90.0,0.50793654,0.24705882,0.7529412,0.627451,0.8784314,0.33684212,0.0,0.67368424,0.627451,0.054412484,0.10276264,0.026866274,0.06389179,0.09339934,0.027625239,0.34551725,0.50508964,0.09339934,36.630714,-20.970968,26.204838,36.630714,-24.52626,26.28399,36.630714,35.949764,133.01869
63,95,63,0.24705882,0.37254903,0.24705882,120.0,0.33684212,0.37254903,120.0,0.20253165,0.30980393,0.7529412,0.627451,0.7529412,0.33684212,0.0,0.33684212,0.627451,0.051428623,0.10616022,0.061401065,0.07038991,0.095998585,0.061848655,0.3084069,0.42060894,0.095998585,37.11448,-20.813026,10.314041,37.11448,-19.972359,7.2518096,37.11448,21.24815,160.04443
63,95,95,0.24705882,0.37254903,0.37254903,180.0,0.33684212,0.37254903,180.0,0.20253165,0.30980393,0.7529412,0.627451,0.627451,0.33684212,0.0,0.0,0.627451,0.046064246,0.11226839,0.123487666,0.08207221,0.10067151,0.12337547,0.26810542,0.32886374,0.10067151,37.96268,-20.657888,-13.000782,37.96268,-12.6542225,-13.111363,37.96268,18.221888,226.01645
63,95,127,0.24705882,0.37254903,0.49803922,210.0,0.503937,0.49803922,210.0,0.33684212,0.37254903,0.7529412,0.627451,0.5019608,0.503937,0.2519685,0.0,0.5019608,0.037959486,0.1214969,0.21729107,0.0997224,0.10773158,0.21633312,0.23531249,0.25421154,0.10773158,39.195755,-20.623188,-39.77014,39.195755,-3.214366,-32.837856,39.195755,32.994804,264.40936
63,95,159,0.24705882,0.37254903,0.62352943,220.0,0.6037736,0.62352943,220.0,0.43243244,0.43529412,0.7529412,0.627451,0.3764706,0.6037736,0.4025157,0.0,0.3764706,0.026815057,0.13418655,0.3462752,0.12399225,0.117439516,0.34415433,0.21174043,0.20055039,0.117439516,40.806244,-20.79122,-66.767456,40.806244,7.5191426,-51.48553,40.806244,52.031696,278.30896
63,95,191,0.24705882,0.37254903,0.7490196,225.0,0.6701571,0.7490196,225.0,0.503937,0.49803922,0.7529412,0.627451,0.2509804,0.6701571,0.5026178,0.0,0.2509804,0.012370706,0.15063366,0.5134522,0.15544853,0.13002203,0.50982404,0.1954603,0.16348915,0.13002203,42.766563,-21.189753,-92.38604,42.766563,18.824755,-69.01929,42.766563,71.54043,285.25613
63,95,223,0.24705882,0.37254903,0.8745098,228.0,0.71748877,0.8745098,228.0,0.71428573,0.56078434,0.7529412,0.627451,0.1254902,0.71748877,0.57399106,0.0,0.1254902,0.0,0.17110294,0.7215126,0.19459748,0.1456816,0.71600854,0.18422773,0.1379185,0.1456816,45.03696,-21.807655,-116.220245,45.03696,30.195803,-85.52286,45.03696,90.697,289.44675
63,95,255,0.24705882,0.37254903,1.0,230.0,0.7529412,1.0,230.0,1.0,0.62352943,0.7529412,0.627451,0.0,0.7529412,0.627451,0.0,0.0,0.0,0.19583517,0.9729038,0.24189961,0.16460246,0.96513313,0.17635857,0.12000455,0.16460246,47.57262,-22.61587,-138.42918,47.57262,41.32867,-101.113144,47.57262,109.23336,292.23166
63,127,0,0.24705882,0.49803922,0.0,90.23622,1.0,0.49803922,90.23622,1.0,0.24901961,0.7529412,0.5019608,1.0,0.503937,0.0,1.0,0.5019608,0.0700784,0.18425211,0.024661763,0.09638893,0.16235034,0.026257668,0.3382104,0.56965643,0.16235034,47.28135,-37.777016,44.048824,47.28135,-40.710896,45.72887,47.28135,61.225048,131.67761
63,127,31,0.24705882,0.49803922,0.12156863,100.0,0.7559055,0.49803922,100.0,0.6075949,0.30980393,0.7529412,0.5019608,0.8784314,0.503937,0.0,0.7559055,0.5019608,0.06894285,0.18554512,0.037804533,0.09886189,0.16333953,0.03928194,0.32791823,0.54178625,0.16333953,47.40961,-37.51802,38.931953,47.40961,-39.295956,36.842728,47.40961,53.86612,136.84546
